BioGRID ID	PubMed ID	Query ORF	Query gene	Query allele	Suppressor ORF	Suppressor gene	Suppressor allele	Note
427766	20157006	YDR082W	STN1	Specific mutation (activating mutant, phospho-mutant, etc)	YLR010C	TEN1	Specific mutation (activating mutant, phospho-mutant, etc)	
427785	18201562	YLR113W	HOG1	Deletion allele	YJL187C	SWE1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427786	18201562	YLR113W	HOG1	Deletion allele	YKL190W	CNB1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427787	18201562	YLR113W	HOG1	Deletion allele	YCR084C	TUP1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427788	18201562	YLR113W	HOG1	Deletion allele	YBR112C	CYC8	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427789	18201562	YLR113W	HOG1	Deletion allele	YNL167C	SKO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
427819	15654096	YLR234W	TOP3	Deletion allele	YHL006C	SHU1	Deletion allele	
427820	15654096	YLR234W	TOP3	Deletion allele	YDR078C	SHU2	Deletion allele	
427821	15654096	YLR234W	TOP3	Deletion allele	YIL132C	CSM2	Deletion allele	
427822	15654096	YLR234W	TOP3	Deletion allele	YLR376C	PSY3	Deletion allele	
427825	3275878	YNL098C	RAS2	Specific mutation (activating mutant, phospho-mutant, etc)	YJL005W	CYR1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
427826	12471153	YDL120W	YFH1	Deletion allele	YCR005C	CIT2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428234	12234925	YNL298W	CLA4	Deletion allele	YMR055C	BUB2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428241	14990574	YDR217C	RAD9	Deletion allele	YDR069C	DOA4	Hypomorphic allele (TS, DAmP, etc)	Conditional Suppression (excl. high temp for TS alleles)
428251	15931174	YGL058W	RAD6	Deletion allele	YDR409W	SIZ1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428252	15931174	YCR066W	RAD18	Deletion allele	YDR409W	SIZ1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428253	15931174	YGL058W	RAD6	Deletion allele	YBR088C	POL30	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
428254	15931174	YCR066W	RAD18	Deletion allele	YBR088C	POL30	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
428255	15931174	YGL058W	RAD6	Deletion allele	YJL092W	SRS2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428263	17898076	YER133W	GLC7	Hypomorphic allele (TS, DAmP, etc)	YIL095W	PRK1	Deletion allele	
428387	20197406	YKL101W	HSL1	Deletion allele	YNL233W	BNI4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428420	20188675	YOR048C	RAT1	Hypomorphic allele (TS, DAmP, etc)	YDL140C	RPO21	Specific mutation (activating mutant, phospho-mutant, etc)	
428638	1849857	YCR066W	RAD18	Deletion allele	YJL092W	SRS2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428639	16956384	YAL026C	DRS2	Deletion allele	YER026C	CHO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428654	11071911	YGR009C	SEC9	Specific mutation (activating mutant, phospho-mutant, etc)	YOR327C	SNC2	Overexpression of a mutant allele	
428655	11071911	YPL232W	SSO1	Specific mutation (activating mutant, phospho-mutant, etc)	YOR327C	SNC2	Overexpression of a mutant allele	
428776	15689486	YIL046W	MET30	Deletion allele	YNL103W	MET4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428787	16832048	YBR115C	LYS2	Specific mutation (activating mutant, phospho-mutant, etc)	YOR001W	RRP6	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428788	16832048	YBR115C	LYS2	Specific mutation (activating mutant, phospho-mutant, etc)	YMR125W	STO1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
428789	16832048	YBR115C	LYS2	Specific mutation (activating mutant, phospho-mutant, etc)	YMR080C	NAM7	Deletion allele	
428816	15014446	YKR008W	RSC4	Hypomorphic allele (TS, DAmP, etc)	YKR029C	SET3	Deletion allele	
