Long Short
Cdc28p/Clb1p_complex Cdc28p/Clb1p
Cdc28p/Clb2p_complex Cdc28p/Clb2p
Cdc28p/Clb3p_complex Cdc28p/Clb3p
Cdc28p/Clb4p_complex Cdc28p/Clb4p
Cdc28p/Clb5p_complex Cdc28p/Clb5p
Cdc28p/Clb6p_complex Cdc28p/Clb6p
Cdc28p/Cln1p_complex Cdc28p/Cln1p
Cdc28p/Cln2p_complex Cdc28p/Cln2p
Cdc28p/Cln3p_complex Cdc28p/Cln3p
Cdc42p/Ste20p_complex Cdc42p/Ste20p
Cdc48p_complex Cdc48p
Cdc73p/Paf1p_complex Cdc73p/Paf1p
Cdc7p/Dbf4p_complex Cdc7p/Dbf4p
chaperonin-containing_T-complex chaperonin-containing_T-complex
chromatin_accessibility_complex chromatin_accessibility
chromatin_assembly_complex chromatin_assembly
chromatin_silencing_complex chromatin_silencing
Chs5p/Arf-1binding_proteins_(ChAPs) Chs5p/Arf-(ChAPs)
Chz1p/Htz1p/Htb1p_complex Chz1p/Htz1p/Htb1p
Clathrin Clathrin
cohesin_loading_factor_complex cohesin_loading_factor
COMA_complex COMA
commitment_complex commitment_complex
COMPASS_complex COMPASS
COPI COPI
COPII COPII
CORVET_complex CORVET
Cox14p/Cox1p/Mss51p_complex Cox14p/Cox1p/Mss51p
Csh1p/Csg2p_complex Csh1p/Csg2p
Csm1p/Lrs4p_complex Csm1p/Lrs4p
Ctf3p_protein_complex Ctf3p_protein_complex
Cul3p-RING_ubiquitin_ligase_complex Cul3p-RING_ub_ligase
CURI_complex CURI
"Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)" Ubiquinol-cytochrome_c_reductase_III
Cytochrome_c_oxidase_(complex_IV) Cytochrome_c_oxidase
cytoplasmic_dynein_complex cytoplasmic_dynein
Cytoplasmic_exosome_complex Cytoplasmic_exosome
cytoplasmic_ribosomal_large_subunit cytoplasmic_RLS
cytoplasmic_ribosomal_small_subunit cytoplasmic_RSS
DASH_complex DASH
Dcs1p/Dcs2_heterodimer Dcs1p/Dcs2
Decapping_Enzyme_Complex Decapping_Enzyme
Def1p/Rad26p_complex Def1p/Rad26p
degradosome degradosome
Dig1p/Ste12p/Dig2p_complex Dig1p/Ste12p/Dig2p
DNA-directed_RNA_polymerase_I_complex DNA-directed_RNA_pol_I
DNA-directed_RNA_polymerase_II_complex DNA-directed_RNA_pol_II
DNA-directed_RNA_polymerase_III_complex DNA-directed_RNA_pol_III
DNA_ligase_IV DNA_ligase_IV
DNA_polymerase_delta_complex DNA_polymerase_delta
DNA_polymerase_epsilon_complex DNA_polymerase_epsilon
DNA_replication_factor_A_complex DNA_repl_A
DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p) DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)
DNA_replication_factor_C_complex_(Elg1p) DNA_repl_(Elg1p)
DNA_replication_factor_C_complex_(Rad24p) DNA_repl_(Rad24p)
DNA_replication_factor_C_complex_(Rcf1p) DNA_repl_(Rcf1p)
Dop1p/Mon2p_complex Dop1p/Mon2p
Dpb11p/Sld2p_complex Dpb11p/Sld2p
DSIF_complex DSIF
Dsl1p_complex Dsl1p
dynactin_complex dynactin
eEF1 eEF1
EGO_complex EGO
eIF1/eIF1A/40S_complex eIF1/eIF1A/40S
eIF2 eIF2
eIF2B eIF2B
eIF3 eIF3
eIF4F eIF4F
Eisosome Eisosome
EKC/KEOPS_protein_complex EKC/KEOPS_protein
Ela1p/Elc1p_complex Ela1p/Elc1p
Elongator_complex Elongator
Erv41p/Erv46p_complex Erv41p/Erv46p
ER_V-ATPase_assembly_complex ER_V-ATPase_assembly
ESCRT_I_complex ESCRT_I
ESCRT_II_complex ESCRT_II
ESCRT_III_complex ESCRT_III
Esp1p/Pds1p_complex Esp1p/Pds1p
Exocyst_complex Exocyst
F0/F1_ATP_synthase_(complex_V) F0/F1_ATP_synthase
FACT_complex FACT
Far3p/Far7p/Far8p/Far9p/Far10p/Far11p_complex factor_arrest_complex
Fatty_Acid_Import_Complex Fatty_Acid_Import
fatty_acid_synthase_complex fatty_acid_synthase
FBP_degradation_complex FBP_degradation
Fig4p/Vac14p_complex Fig4p/Vac14p
Fth1p/Fet5p_complex Fth1p/Fet5p
Gac1p/Glc7p_complex Gac1p/Glc7p
GAL3p/GAL80p_complex GAL3p/GAL80p
GAL4p/GAL80p_complex GAL4p/GAL80p
gamma-tubulin_complex gamma-tubulin
GARP_complex GARP
Gcd10p/Gcd14p_complex Gcd10p/Gcd14p
Gcn1p/Gcn20p_complex Gcn1p/Gcn20p
GCR_complex GCR
Geranylgeranyltransferase_II_(GGTase_II) GGTase_II
GET_complex GET
GINS_complex GINS
Gip1p/Glc7p_complex Gip1p/Glc7p
glycine_cleavage_complex glycine_cleavage
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase_(GPI-GnT)_complex GPI-GnT
Golgi_transport_complex Golgi_transport
GPI-anchor_transamidase_complex GPI-anchor_transamidase
Grh1p/Bug1p_complex Grh1p/Bug1p
GSE_Complex GSE
GSH_degradosomal_complex GSH_degradosomal
guanyl-nucleotide_exchange_factor_complex guanyl-nucleotide_exchange_factor
Gyl1p/Gyp5p_complex Gyl1p/Gyp5p
HAT-B_complex HAT-B
heterodimeric_G-protein_complex heterodimeric_G-protein
heterotrimeric_G-protein_complex heterotrimeric_G-protein
HIR_complex HIR
histone_deacetylase_complex histone_deacetylase
histone_H2A_phosphatase_complex histone_H2A_phosphatase
HMC_Complex HMC
Holliday_junction_resolvase_complex Holliday_junction_resolvase
Hop2p/Mnd1p_complex Hop2p/Mnd1p
HOPS_complex HOPS
Hse1p/Vps27p_complex Hse1p/Vps27p
"H+-transporting_ATPase,_Golgi" "H+-transporting_ATPase,_Golgi"
"H+-transporting_ATPase,_vacuolar" "H+-transporting_ATPase,_vacuolar"
Hym1p/Kic1p/Sog2p_complex Hym1p/Kic1p/Sog2p
i-AAA_complex i-AAA
