ORF Complex
YJL002C oligosaccharyl_transferase_complex
YOR103C oligosaccharyl_transferase_complex
YOR085W oligosaccharyl_transferase_complex
YDL232W oligosaccharyl_transferase_complex
YGL226C-A oligosaccharyl_transferase_complex
YML019W oligosaccharyl_transferase_complex
YGL022W oligosaccharyl_transferase_complex
YMR149W oligosaccharyl_transferase_complex
YEL002C oligosaccharyl_transferase_complex
YLR226W Sgv1p/Bur2p_complex
YPR161C Sgv1p/Bur2p_complex
YHR186C TORC_1_complex
YNL006W TORC_1_complex
YPL180W TORC_1_complex
YJR066W TORC_1_complex
YPR034W SWI/SNF_complex
YMR033W SWI/SNF_complex
YGR275W SWI/SNF_complex
YDR073W SWI/SNF_complex
YNR023W SWI/SNF_complex
YOR290C SWI/SNF_complex
YBR289W SWI/SNF_complex
YHL025W SWI/SNF_complex
YPL016W SWI/SNF_complex
YJL176C SWI/SNF_complex
YPL129W SWI/SNF_complex
YFL049W SWI/SNF_complex
YDR054C SCF-CDC4_complex
YFL009W SCF-CDC4_complex
YDL132W SCF-CDC4_complex
YOR057W SCF-CDC4_complex
YDR328C SCF-CDC4_complex
YDL088C karyopherin_docking_subcomplex_of_the_Nuclear_Pore_Complex_(NPC)
YBL079W karyopherin_docking_subcomplex_of_the_Nuclear_Pore_Complex_(NPC)
YMR153W karyopherin_docking_subcomplex_of_the_Nuclear_Pore_Complex_(NPC)
YDL102W DNA_polymerase_delta_complex
YJR006W DNA_polymerase_delta_complex
YJR043C DNA_polymerase_delta_complex
YOL139C eIF4F
YKR059W eIF4F
YGR162W eIF4F
YDL013W Slx5p/Slx8p_complex
YER116C Slx5p/Slx8p_complex
YPR175W DNA_polymerase_epsilon_complex
YBR278W DNA_polymerase_epsilon_complex
YDR121W DNA_polymerase_epsilon_complex
YNL262W DNA_polymerase_epsilon_complex
YMR012W eIF3
YLR192C eIF3
YMR309C eIF3
YOR361C eIF3
YBR079C eIF3
YMR146C eIF3
YDR429C eIF3
YDR252W nascent_polypeptide-associated_complex
YPL037C nascent_polypeptide-associated_complex
YHR193C nascent_polypeptide-associated_complex
YGL094C PAN_complex
YKL025C PAN_complex
YKL135C AP-1_adaptor_complex
YPR029C AP-1_adaptor_complex
YPL259C AP-1_adaptor_complex
YHL019C AP-1_adaptor_complex
YLR170C AP-1_adaptor_complex
YMR284W Ku_complex
YMR106C Ku_complex
YDR159W Sac3p/Thp1p_complex
YOL072W Sac3p/Thp1p_complex
YPL248C GAL4p/GAL80p_complex
YML051W GAL4p/GAL80p_complex
YIL072W Synaptonemal_complex_(SC)
YLR263W Synaptonemal_complex_(SC)
YDR285W Synaptonemal_complex_(SC)
YGL249W Synaptonemal_complex_(SC)
YEL053C NatC_complex
YPR051W NatC_complex
YCR020C-A NatC_complex
YMR275C Rsp5p/Bul1_ubiquitin_ligase_complex
YER125W Rsp5p/Bul1_ubiquitin_ligase_complex
YOL149W Decapping_Enzyme_Complex
YNL118C Decapping_Enzyme_Complex
YHR013C NatA_complex
YDL040C NatA_complex
YOR253W NatA_complex
YOR144C DNA_replication_factor_C_complex_(Elg1p)
YJR068W DNA_replication_factor_C_complex_(Elg1p)
YNL290W DNA_replication_factor_C_complex_(Elg1p)
YOL094C DNA_replication_factor_C_complex_(Elg1p)
YBR087W DNA_replication_factor_C_complex_(Elg1p)
YML102W chromatin_assembly_complex
YBR195C chromatin_assembly_complex
YPR018W chromatin_assembly_complex
YGL200C COPII
YAR002C-A COPII
YAL007C COPII
YML012W COPII
YAL042W COPII
YPL218W COPII
YLR208W COPII
YPL085W COPII
YPR181C COPII
YIL109C COPII
YDL195W COPII
YFL005W Sro1p/Sec4p/Sec9p_complex
YGR009C Sro1p/Sec4p/Sec9p_complex
YPR032W Sro1p/Sec4p/Sec9p_complex
YDL056W MBF_complex
YLR182W MBF_complex
YDL132W nuclear_ubiquitin_ligase_complex
YJR090C nuclear_ubiquitin_ligase_complex
YOL133W nuclear_ubiquitin_ligase_complex
YDR328C nuclear_ubiquitin_ligase_complex
