bin	deg	k	value
0.5	25.0	6.0	0.011749571886240547
0.55	25.0	6.0	0.007685563758224291
0.6	25.0	6.0	0.0
0.65	25.0	6.0	0.010422214392815883
0.7	25.0	6.0	0.008603243012937639
0.75	25.0	6.0	0.002900521930076118
0.8	25.0	6.0	0.0
0.85	25.0	6.0	0.0014174867059411538
0.9	25.0	6.0	0.002310585266331823
0.95	25.0	6.0	0.0027776184584627234
1.0	25.0	6.0	0.0009996149024556113
0.05	50.0	3.0	0.6934135740554999
0.1	50.0	3.0	0.0
0.15	50.0	3.0	0.0
0.2	50.0	3.0	0.0
0.25	50.0	3.0	0.0
0.3	50.0	3.0	0.0
0.35	50.0	3.0	0.23906568189416735
0.4	50.0	3.0	0.0
0.45	50.0	3.0	0.0
0.5	50.0	3.0	0.0
0.55	50.0	3.0	0.0
0.6	50.0	3.0	0.0
0.65	50.0	3.0	0.0
0.7	50.0	3.0	0.054724780401811494
0.75	50.0	3.0	0.0
0.8	50.0	3.0	0.0
0.85	50.0	3.0	0.0
0.9	50.0	3.0	0.0
0.95	50.0	3.0	0.0
1.0	50.0	3.0	0.012795963648521322
0.05	50.0	4.0	0.534155911556207
0.1	50.0	4.0	0.0
0.15	50.0	4.0	0.0
0.2	50.0	4.0	0.2915699514665541
0.25	50.0	4.0	0.0
0.3	50.0	4.0	0.0
0.35	50.0	4.0	0.1175481770016482
0.4	50.0	4.0	0.0
0.45	50.0	4.0	0.0
0.5	50.0	4.0	0.0
0.55	50.0	4.0	0.04123061656296516
0.6	50.0	4.0	0.0
0.65	50.0	4.0	0.0
0.7	50.0	4.0	0.011176665164848327
0.75	50.0	4.0	0.0
0.8	50.0	4.0	0.0
0.85	50.0	4.0	0.0033291890751270367
0.9	50.0	4.0	0.0
0.95	50.0	4.0	0.0
1.0	50.0	4.0	0.000989489172650177
0.05	50.0	5.0	0.3914743508424011
0.1	50.0	5.0	0.0
0.15	50.0	5.0	0.30134556353239766
0.2	50.0	5.0	0.0
0.25	50.0	5.0	0.16990285397201
0.3	50.0	5.0	0.0
0.35	50.0	5.0	0.08193076975519753
0.4	50.0	5.0	0.0
0.45	50.0	5.0	0.0339607653280933
0.5	50.0	5.0	0.0
0.55	50.0	5.0	0.013465451758803077
0.6	50.0	5.0	0.0
0.65	50.0	5.0	0.005233669983111418
0.7	50.0	5.0	0.0
0.75	50.0	5.0	0.0017628590981306918
0.8	50.0	5.0	0.0
0.85	50.0	5.0	0.0006182196482307548
0.9	50.0	5.0	0.0
0.95	50.0	5.0	0.00023300548598472002
1.0	50.0	5.0	7.249059563969067e-05
0.05	50.0	6.0	0.2792213503252789
