from	to	weight
subgroup_31	subgroup_67	-0.06499999999999999
subgroup_31	subgroup_77	0.163
subgroup_31	subgroup_81	0.053
subgroup_31	subgroup_84	0.08
subgroup_31	subgroup_86	-0.109
subgroup_31	subgroup_100	0.084
subgroup_31	subgroup_132	-0.08
subgroup_32	subgroup_106	-0.153
subgroup_32	subgroup_107	0.08800000000000001
subgroup_33	subgroup_39	-0.125
subgroup_33	subgroup_50	0.064
subgroup_33	subgroup_94	0.076
subgroup_34	subgroup_35	-0.29200000000000004
subgroup_34	subgroup_38	-0.39054878048780495
subgroup_34	subgroup_39	-0.1295
subgroup_34	subgroup_50	-0.15232283464566929
subgroup_34	subgroup_54	-0.24600000000000005
subgroup_34	subgroup_55	-0.255
subgroup_34	subgroup_61	-0.322
subgroup_34	subgroup_72	-0.1787747747747747
subgroup_34	subgroup_77	-0.4515084745762712
subgroup_34	subgroup_94	-0.066
subgroup_34	subgroup_100	-0.4789160671462829
subgroup_34	subgroup_106	-0.1375128205128205
subgroup_34	subgroup_129	-0.456219512195122
subgroup_34	subgroup_135	-0.065
subgroup_35	subgroup_36	-0.09799999999999998
subgroup_35	subgroup_40	-0.4489999999999999
subgroup_35	subgroup_50	-0.561918588873813
subgroup_35	subgroup_58	-0.08800000000000001
subgroup_35	subgroup_72	-0.136
subgroup_35	subgroup_76	-0.06800000000000002
subgroup_35	subgroup_77	-0.11002400000000004
subgroup_35	subgroup_96	-0.17300000000000001
subgroup_35	subgroup_100	-0.1396456953642384
subgroup_35	subgroup_106	-0.081
subgroup_35	subgroup_107	-0.2549999999999999
subgroup_35	subgroup_114	-0.07200000000000001
subgroup_35	subgroup_128	-0.08
subgroup_36	subgroup_38	-0.08999999999999998
subgroup_36	subgroup_39	-0.08600000000000001
subgroup_36	subgroup_40	-0.11800000000000005
subgroup_36	subgroup_50	-0.186035010940919
subgroup_36	subgroup_57	0.05739999999999999
subgroup_36	subgroup_60	0.068
subgroup_36	subgroup_76	0.07699999999999999
subgroup_36	subgroup_77	-0.1398888888888889
subgroup_36	subgroup_78	-0.068
subgroup_36	subgroup_100	-0.47175000000000006
