orf	name	type	betw
Noc1p/Noc2p	Noc1p/Noc2p	C	0.00029
Noc2p/Noc3p	Noc2p/Noc3p	C	0.00581
Noc4p/Nop14p	Noc4p/Nop14p	C	3e-05
Nonsense-mediated_mRNA_decay_pathway	Nonsense-mediated_mRNA_decay_pathway	C	9e-05
Npa2p-containing_subcomplex	Npa2p-containing_subcomplex	C	0.0001
Nsp1p/Nup82p	Nsp1p/Nup82p	C	4e-05
Nsp1p	Nsp1p	C	0.0002
Ntr1p/Ntr2p/Prp43p	Ntr1p/Ntr2p/Prp43p	C	0.0
NuA3_histone_acetyltransferase	NuA3_histone_acetyltransferase	C	6e-05
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.00012
Nuclear_exosome	Nuclear_exosome	C	0.00017
Nucleosomal_protein	Nucleosomal_protein	C	0.00023
Nup82_NPC_subcomplex	Nup82_NPC_subcomplex	C	0.00041
Nup84p	Nup84p	C	2e-05
OAF	OAF	C	0.0
OCA	OCA	C	2e-05
Origin_recognition	Origin_recognition	C	4e-05
PAM	PAM	C	0.00015
PAN	PAN	C	0.00234
Permease-Oxidase	Permease-Oxidase	C	0.0
Phenylalaninine-tRNA-ligase	Phenylalaninine-tRNA-ligase	C	0.00127
Pho85p/Pcl10p	Pho85p/Pcl10p	C	0.0
Pho85p/Pcl1p	Pho85p/Pcl1p	C	0.00353
Pho85p/Pcl2p	Pho85p/Pcl2p	C	5e-05
Pho85p/Pcl8p	Pho85p/Pcl8p	C	0.00032
Pho85p/Pho80p	Pho85p/Pho80p	C	0.00028
Png1p/Rad23p	Png1p/Rad23p	C	1e-05
Polzeta-Rev1p	Polzeta-Rev1p	C	0.00153
Pmt1p/Pmt2p	Pmt1p/Pmt2p	C	9e-05
Pmt3p/Pmt5p	Pmt3p/Pmt5p	C	0.00026
Prp19-associated	Prp19-associated	C	0.00051
Prp9p/Prp11p/Prp21p_complex(SF3a)	Prp9p/Prp11p/Prp21p_complex(SF3a)	C	0.0002
Psr1p/Whi2p	Psr1p/Whi2p	C	0.00021
Pxa1p/Pxa2p	Pxa1p/Pxa2p	C	0.00052
Q-biosynthetic_Coq_polypeptide	Q-biosynthetic_Coq_polypeptide	C	9e-05
Q0050	AI1	S	0.0
Q0055	AI2	S	3e-05
Q0060	AI3	S	4e-05
Q0065	AI4	S	0.0
Q0070	AI5_ALPHA	S	7e-05
Q0075	AI5_BETA	S	0.00029
Q0110	BI2	S	1e-05
Q0160	SCEI	S	0.0
Q0255	Q0255	S	0.0
RAVE	RAVE	C	6e-05
RENT	RENT	C	0.00035
RES	RES	C	0.00066
RING_finger_peroxin	RING_finger_peroxin	C	0.0
RNA_Degradation	RNA_Degradation	C	2e-05
RNA_pol_I_transcription_factor	RNA_pol_I_transcription_factor	C	1e-05
RNA_pol_I_upstream_activating_factor	RNA_pol_I_upstream_activating_factor	C	0.00077
RSC	RSC	C	0.00018
Rad17p/Ddc1p/Mec3p	Rad17p/Ddc1p/Mec3p	C	8e-05
Rad53p/Asf1p	Rad53p/Asf1p	C	0.00019
Rad6p/Rad18p	Rad6p/Rad18p	C	0.00014
RecQ_helicase-Topo_III	RecQ_helicase-Topo_III	C	0.0017
Reg1p/Glc7p	Reg1p/Glc7p	C	2e-05
Reg2p/Glc7p	Reg2p/Glc7p	C	0.00073
RAC	RAC	C	0.00017
Rix1p	Rix1p	C	0.01311
Rot2p/Gtb1p	Rot2p/Gtb1p	C	7e-05
Rpd3L	Rpd3L	C	0.00026
Rpd3S	Rpd3S	C	0.00031
Rsp5p/Bul1	Rsp5p/Bul1	C	0.00051
Rsp5p/Bul2	Rsp5p/Bul2	C	0.00109
Rtg1p/Rtg3p	Rtg1p/Rtg3p	C	0.00027
Rtt109p/Vps75p	Rtt109p/Vps75p	C	0.0003
Rvs161p/Rvs167p	Rvs161p/Rvs167p	C	4e-05
SAGA_complex	SAGA_complex	C	9e-05
SAS	SAS	C	0.00012
SBF	SBF	C	0.00012
SCF-CDC4	SCF-CDC4	C	0.00026
SF3b	SF3b	C	0.00049
SNARE	SNARE	C	0.00147
SPB	SPB	C	0.0009
STE5-MAPK	STE5-MAPK	C	0.01334
SWI/SNF	SWI/SNF	C	0.00038
Sac3p/Thp1p	Sac3p/Thp1p	C	0.0
Sap155p/Sit4p	Sap155p/Sit4p	C	9e-05
Sap185p/Sit4p	Sap185p/Sit4p	C	0.00061
Sap190p/Sit4p	Sap190p/Sit4p	C	0.00178
Sds22p/Glc7p	Sds22p/Glc7p	C	4e-05
Sec61p_translocon	Sec61p_translocon	C	0.00018
Sec62p/Sec63p	Sec62p/Sec63p	C	0.00016
Set3p	Set3p	C	0.00015
Sfb3p/Sec23p	Sfb3p/Sec23p	C	2e-05
Sgv1p/Bur2p	Sgv1p/Bur2p	C	0.00012
Shq1p/Naf1p	Shq1p/Naf1p	C	1e-05
SRP	SRP	C	0.00015
Ski	Ski	C	2e-05
Sko1p/Cyc8p/Tup1_repressor	Sko1p/Cyc8p/Tup1_repressor	C	1e-05
Sli15p/Bir1p	Sli15p/Bir1p	C	1e-05
Slx1p/Slx4p	Slx1p/Slx4p	C	0.0
Slx5p/Slx8p	Slx5p/Slx8p	C	2e-05
Snf1p/Snf4p/Gal83p	Snf1p/Snf4p/Gal83p	C	0.0
Snf1p/Snf4p/Sip1p	Snf1p/Snf4p/Sip1p	C	0.00054
Snf1p/Snf4p/Sip2p	Snf1p/Snf4p/Sip2p	C	0.0
Sno1p/Snz1p	Sno1p/Snz1p	C	9e-05
Sod1p/Ccs1p	Sod1p/Ccs1p	C	6e-05
Sro1p/Sec4p/Sec9p	Sro1p/Sec4p/Sec9p	C	7e-05
Ssh1p_translocon	Ssh1p_translocon	C	0.0002
Succinate_dehydrogenase	Succinate_dehydrogenase	C	2e-05
Succinyl-CoA_ligase	Succinyl-CoA_ligase	C	2e-05
Sum1p/Rfm1p/Hst1p	Sum1p/Rfm1p/Hst1p	C	0.00249
Sur1p/Csg2p	Sur1p/Csg2p	C	0.0
Swh1p/Nvj1p	Swh1p/Nvj1p	C	2e-05
Swr1p	Swr1p	C	2e-05
Synaptonemal_complex_(SC)	Synaptonemal_complex_(SC)	C	7e-05
THO	THO	C	0.00016
TORC_1	TORC_1	C	5e-05
TORC_2	TORC_2	C	8e-05
TRAMP_complex_(Air1p)	TRAMP_complex_(Air1p)	C	0.00011
TRAMP_complex_(Air2p)	TRAMP_complex_(Air2p)	C	0.00024
TRAPP	TRAPP	C	0.0001
Tap42p/Pph21p/Rrd2p	Tap42p/Pph21p/Rrd2p	C	8e-05
Tap42p/Sit4p/Rrd1p	Tap42p/Sit4p/Rrd1p	C	0.00021
Telomerase	Telomerase	C	4e-05
Tim8p/Tim13p	Tim8p/Tim13p	C	0.0
Tof1p/Mrc1p/Csm3p	Tof1p/Mrc1p/Csm3p	C	0.00023
Tubulins	Tubulins	C	0.00021
U2_snRNP	U2_snRNP	C	1e-05
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	0.0
U5_snRNP	U5_snRNP	C	0.001
U6_snRNP	U6_snRNP	C	0.00179
UDP-N-acetylglucosamine_transferase	UDP-N-acetylglucosamine_transferase	C	1e-05
UTP_A	UTP_A	C	0.00038
UTP_B	UTP_B	C	0.00013
UTP_C	UTP_C	C	1e-05
Uba2p/Aos1p	Uba2p/Aos1p	C	0.0
Ubp3p/Bre5p	Ubp3p/Bre5p	C	2e-05
Ula1p/Uba3p	Ula1p/Uba3p	C	0.0
Ume6p/Ime1p	Ume6p/Ime1p	C	0.00154
VTC_heterotetrameric	VTC_heterotetrameric	C	0.00067
Vam3p/Vam7_vacuolar_tSNARE	Vam3p/Vam7_vacuolar_tSNARE	C	0.0
YAL005C	SSA1	S	0.00078
YAL008W	FUN14	S	0.0
YAL012W	CYS3	S	0.00192
YAL014C	SYN8	S	6e-05
YAL015C	NTG1	S	0.0
YAL017W	PSK1	S	0.0
YAL018C	LDS1	S	5e-05
YAL019W	FUN30	S	0.0
YAL020C	ATS1	S	0.0
YAL022C	FUN26	S	1e-05
YAL025C	MAK16	S	0.0
YAL026C	DRS2	S	0.0
YAL027W	SAW1	S	1e-05
YAL028W	FRT2	S	0.0
YAL029C	MYO4	S	0.00012
YAL031C	GIP4	S	0.00073
YAL032C	PRP45	S	1e-05
YAL034C	FUN19	S	1e-05
YAL035W	FUN12	S	0.00044
YAL036C	RBG1	S	4e-05
YAL037W	YAL037W	S	8e-05
YAL038W	CDC19	S	0.00143
YAL039C	CYC3	S	0.0
YAL044W-A	YAL044W-A	S	0.0021
YAL046C	AIM1	S	7e-05
YAL048C	GEM1	S	1e-05
YAL049C	AIM2	S	5e-05
YAL053W	FLC2	S	0.00182
YAL054C	ACS1	S	2e-05
YAL055W	PEX22	S	1e-05
YAL056W	GPB2	S	1e-05
YAL058W	CNE1	S	4e-05
YAL059W	ECM1	S	6e-05
