orf	name	type	betw	regulation
YKL192C	ACP1	S	0.0	0.569
YKL195W	MIA40	S	0.0	0.614
YKL198C	PTK1	S	0.00655	0.492
YKL204W	EAP1	S	0.0	0.396
YKL205W	LOS1	S	0.0	0.725
YKL206C	ADD66	S	0.0	0.493
YKL209C	STE6	S	0.0	0.937
YKL214C	YRA2	S	0.0	0.422
YKL216W	URA1	S	0.0	1.591
YKR003W	OSH6	S	0.0	0.721
YKR014C	YPT52	S	0.0	0.411
YKR031C	SPO14	S	0.0	0.456
YKR034W	DAL80	S	0.0	1.65
YKR036C	CAF4	S	0.0	0.381
YKR050W	TRK2	S	0.0	0.391
YKR055W	RHO4	S	0.0	0.472
YKR056W	TRM2	S	0.0	1.233
YKR060W	UTP30	S	0.0002	0.965
YKR064W	OAF3	S	0.0	0.342
YKR066C	CCP1	S	0.0	1.073
YKR067W	GPT2	S	0.0	0.95
YKR072C	SIS2	S	0.0	0.396
YKR078W	YKR078W	S	0.0	0.358
YKR082W	NUP133	S	0.0	0.652
YKR084C	HBS1	S	0.0	0.475
YKR086W	PRP16	S	0.0	0.374
YKR088C	TVP38	S	0.0	0.422
YKR093W	PTR2	S	0.0	0.641
YKR097W	PCK1	S	0.0	2.346
YKR103W	NFT1	S	0.0	0.54
YKR104W	YKR104W	S	0.0	0.532
YLL001W	DNM1	S	0.00101	0.665
YLL009C	COX17	S	0.0	0.679
YLL011W	SOF1	S	0.0	1.118
YLL012W	YEH1	S	0.0	0.69
YLL018C-A	COX19	S	0.0	NA
YLL019C	KNS1	S	0.0	0.688
YLL027W	ISA1	S	0.0	0.664
YLL033W	IRC19	S	0.0	0.377
YLL040C	VPS13	S	0.0	0.369
YLL043W	FPS1	S	0.0	0.316
YLL048C	YBT1	S	0.0	0.602
YLL049W	LDB18	S	0.0	0.358
YLL061W	MMP1	S	0.0	0.788
YLL063C	AYT1	S	0.0	0.516
YLR004C	THI73	S	0.0	0.731
YLR006C	SSK1	S	0.0	0.459
YLR019W	PSR2	S	0.01121	0.327
YLR021W	IRC25	S	0.00017	0.449
YLR024C	UBR2	S	0.0	0.468
YLR028C	ADE16	S	0.0	0.504
YLR032W	RAD5	S	0.00166	0.422
YLR034C	SMF3	S	0.0	0.382
YLR049C	YLR049C	S	0.0	0.512
YLR051C	FCF2	S	0.0	0.75
YLR056W	ERG3	S	0.0	0.974
YLR064W	PER33	S	0.00351	0.538
YLR072W	YLR072W	S	0.00158	0.549
YLR073C	RFU1	S	0.0	0.762
YLR077W	FMP25	S	0.0	0.37
YLR084C	RAX2	S	0.0	0.793
YLR089C	ALT1	S	0.0	0.701
YLR090W	XDJ1	S	0.0	0.388
YLR097C	HRT3	S	0.00927	0.545
YLR100W	ERG27	S	0.0	0.653
YLR131C	ACE2	S	0.0	0.449
YLR138W	NHA1	S	0.0	0.594
YLR144C	ACF2	S	0.0	0.514
YLR168C	UPS2	S	0.0	0.774
YLR173W	YLR173W	S	0.0	0.58
YLR176C	RFX1	S	0.0	0.505
YLR178C	TFS1	S	0.0	2.106
YLR179C	YLR179C	S	0.0	0.705
YLR181C	VTA1	S	0.0	0.496
YLR186W	EMG1	S	0.0	1.146
YLR188W	MDL1	S	0.0	0.423
YLR190W	MMR1	S	0.0	0.556
YLR193C	UPS1	S	0.0	0.559
YLR199C	PBA1	S	0.0	0.341
YLR215C	CDC123	S	0.0	0.499
YLR219W	MSC3	S	0.0	0.553
YLR220W	CCC1	S	0.0	0.623
YLR227C	ADY4	S	0.0	0.422
YLR228C	ECM22	S	0.0	0.521
YLR241W	CSC1	S	0.0	0.531
YLR256W	HAP1	S	0.0	0.399
YLR278C	YLR278C	S	0.0	0.485
YLR287C	YLR287C	S	0.0	0.699
YLR290C	YLR290C	S	0.0	0.574
YLR300W	EXG1	S	0.0	0.951
YLR305C	STT4	S	0.0004	0.56
YLR312C	YLR312C	S	0.0	2.225
YLR313C	SPH1	S	0.0	0.445
YLR323C	CWC24	S	0.0	0.586
YLR336C	SGD1	S	0.01613	0.751
YLR337C	VRP1	S	0.02968	NA
YLR343W	GAS2	S	0.0	0.567
YLR345W	YLR345W	S	0.0	1.275
YLR354C	TAL1	S	0.0	0.929
YLR368W	MDM30	S	0.0	0.376
YLR371W	ROM2	S	0.0	0.404
YLR373C	VID22	S	0.0	0.303
YLR377C	FBP1	S	0.0	1.684
YLR387C	REH1	S	0.0	0.536
YLR389C	STE23	S	0.0	0.561
YLR393W	ATP10	S	0.0	0.499
YLR394W	CST9	S	0.0	0.408
YLR397C	AFG2	S	0.0	0.704
YLR403W	SFP1	S	0.0	0.339
YLR404W	FLD1	S	0.0	0.355
YLR405W	DUS4	S	0.0	0.632
YLR427W	MAG2	S	0.0	0.41
YLR435W	TSR2	S	0.0	0.991
YLR436C	ECM30	S	0.0	0.495
YLR438W	CAR2	S	0.0	1.07
YLR450W	HMG2	S	0.0	0.451
YLR452C	SST2	S	0.0	0.877
YLR453C	RIF2	S	0.0	0.387
YLR456W	YLR456W	S	0.0	0.426
YML002W	YML002W	S	0.0	0.559
YML006C	GIS4	S	0.0022	0.537
YML013W	UBX2	S	0.0	0.461
YML017W	PSP2	S	0.0	0.855
YML031W	NDC1	S	0.0	0.624
YML037C	YML037C	S	0.0	0.516
YML038C	YMD8	S	0.0	0.562
YML058W	SML1	S	0.0	0.523
YML075C	HMG1	S	0.0	0.545
YML082W	YML082W	S	0.0	0.511
YML086C	ALO1	S	0.0	0.52
YML088W	UFO1	S	0.0	0.712
YML091C	RPM2	S	0.00153	0.953
YML097C	VPS9	S	0.0	0.397
YML101C	CUE4	S	0.0	0.449
YML103C	NUP188	S	0.0	0.495
YML104C	MDM1	S	0.0	0.636
YML109W	ZDS2	S	0.0	0.493
YML110C	COQ5	S	0.0	0.508
YML126C	ERG13	S	0.0076	0.858
YML130C	ERO1	S	0.0	1.003
YMR002W	MIX17	S	0.0	0.48
YMR004W	MVP1	S	0.0	0.423
YMR015C	ERG5	S	0.0	0.919
YMR016C	SOK2	S	0.0	0.648
YMR021C	MAC1	S	0.00101	0.409
YMR022W	UBC7	S	0.0	0.579
YMR027W	YMR027W	S	0.0	0.423
YMR037C	MSN2	S	0.0	0.567
YMR039C	SUB1	S	0.0	0.482
YMR041C	ARA2	S	0.0	0.865
YMR065W	KAR5	S	0.0	0.437
YMR067C	UBX4	S	0.0	0.511
YMR070W	MOT3	S	0.0	0.578
YMR071C	TVP18	S	0.00202	0.385
YMR079W	SEC14	S	0.0	0.738
YMR083W	ADH3	S	0.0	0.486
YMR097C	MTG1	S	0.00045	0.636
YMR100W	MUB1	S	0.0	0.443
YMR104C	YPK2	S	0.0	0.943
YMR105C	PGM2	S	0.0	2.276
YMR111C	YMR111C	S	0.00336	0.491
YMR115W	MGR3	S	0.0	0.394
YMR119W	ASI1	S	0.0	0.429
YMR120C	ADE17	S	0.0	1.295
YMR123W	PKR1	S	0.0	0.722
YMR131C	RRB1	S	0.0	1.559
YMR136W	GAT2	S	0.0	1.142
YMR140W	SIP5	S	0.0	0.604
YMR144W	YMR144W	S	0.0	0.537
YMR145C	NDE1	S	0.0	0.89
YMR148W	OSW5	S	0.0	0.579
YMR155W	YMR155W	S	0.0	0.622
YMR165C	PAH1	S	0.0	0.556
YMR175W	SIP18	S	0.00017	2.179
YMR182C	RGM1	S	0.0	0.66
YMR196W	YMR196W	S	0.0	1.345
YMR200W	ROT1	S	0.0	0.364
YMR202W	ERG2	S	0.00118	0.919
YMR210W	YMR210W	S	0.0	0.527
YMR221C	YMR221C	S	0.0	0.5
YMR238W	DFG5	S	0.0	0.432
YMR239C	RNT1	S	0.0	1.075
YMR241W	YHM2	S	0.0	0.915
YMR243C	ZRC1	S	0.0	0.664
YMR255W	GFD1	S	0.0	0.676
YMR258C	ROY1	S	0.00467	0.52
YMR264W	CUE1	S	0.0	0.467
YMR272C	SCS7	S	0.0	0.783
YMR273C	ZDS1	S	0.0	0.42
YMR277W	FCP1	S	0.0	0.464
YMR279C	YMR279C	S	0.0	0.731
YMR291W	TDA1	S	0.0	0.966
YMR292W	GOT1	S	0.0	0.557
YMR297W	PRC1	S	0.0	0.845
YMR298W	LIP1	S	0.0	0.419
YMR303C	ADH2	S	0.0	0.652
YMR307W	GAS1	S	0.0	1.321
YMR311C	GLC8	S	0.0	0.728
YMR313C	TGL3	S	0.0	0.412
YMR319C	FET4	S	0.0	0.656
YNL001W	DOM34	S	0.0	0.599
YNL003C	PET8	S	0.0	0.372
YNL008C	ASI3	S	0.0	0.351
YNL010W	YNL010W	S	0.0	0.811
YNL014W	HEF3	S	0.0	0.813
YNL020C	ARK1	S	0.0018	0.252
YNL027W	CRZ1	S	0.0	0.287
YNL048W	ALG11	S	0.0	0.445
YNL049C	SFB2	S	0.0	0.605
YNL053W	MSG5	S	0.0	0.463
YNL075W	IMP4	S	0.0	1.046
YNL078W	NIS1	S	0.0	0.566
YNL079C	TPM1	S	0.0	0.772
YNL083W	SAL1	S	0.0	0.47
YNL090W	RHO2	S	0.0	0.566
YNL091W	NST1	S	0.0	0.327
YNL092W	YNL092W	S	0.0	0.913
YNL093W	YPT53	S	0.0	1.24
YNL094W	APP1	S	0.0	0.368
YNL098C	RAS2	S	0.0	0.579
YNL100W	MIC27	S	0.0	0.576
YNL106C	INP52	S	0.0	0.358
YNL111C	CYB5	S	0.0	0.835
YNL116W	DMA2	S	0.0	0.57
YNL119W	NCS2	S	0.0005	1.267
YNL130C	CPT1	S	0.0	0.584
YNL149C	PGA2	S	0.0	0.584
YNL152W	INN1	S	0.0	0.451
YNL155W	CUZ1	S	0.0	0.642
YNL157W	IGO1	S	0.0	0.464
YNL164C	IBD2	S	0.0	0.659
YNL166C	BNI5	S	0.0	0.599
YNL192W	CHS1	S	0.0	0.713
YNL194C	YNL194C	S	0.0	1.947
YNL206C	RTT106	S	0.0	0.488
YNL210W	MER1	S	0.0	0.6
YNL215W	IES2	S	0.0	0.496
YNL217W	YNL217W	S	0.0	0.719
YNL219C	ALG9	S	0.0	0.474
YNL227C	JJJ1	S	0.0004	0.662
YNL240C	NAR1	S	0.0	0.659
YNL242W	ATG2	S	0.0	0.826
YNL245C	CWC25	S	0.0	0.373
YNL263C	YIF1	S	0.0	0.477
YNL265C	IST1	S	0.0	0.456
YNL279W	PRM1	S	0.0	0.53
YNL280C	ERG24	S	0.0	0.495
YNL281W	HCH1	S	0.0	0.753
YNL283C	WSC2	S	0.0	0.561
YNL291C	MID1	S	0.0	0.545
YNL304W	YPT11	S	0.0	0.479
YNL310C	ZIM17	S	0.0	0.486
YNL313C	EMW1	S	0.0	1.13
YNL315C	ATP11	S	0.00298	0.478
YNL318C	HXT14	S	0.0	0.707
YNL321W	VNX1	S	0.00343	0.554
YNL322C	KRE1	S	0.0	0.631
YNL327W	EGT2	S	0.00302	1.205
YNL336W	COS1	S	0.0023	0.486
YNR001C	CIT1	S	0.0	1.455
YNR018W	RCF2	S	0.0	0.538
YNR019W	ARE2	S	0.0	0.666
YNR024W	MPP6	S	0.0	0.575
YNR026C	SEC12	S	0.0	0.415
YNR030W	ALG12	S	0.0	0.547
YNR031C	SSK2	S	0.0	0.369
YNR032C-A	HUB1	S	0.0	NA
YNR033W	ABZ1	S	0.0	0.514
YNR034W	SOL1	S	0.0	0.71
YNR036C	MRPS12	S	0.0	0.549
YNR058W	BIO3	S	0.0	0.59
YNR064C	YNR064C	S	0.0	0.827
YNR065C	YNR065C	S	0.0	0.555
YNR066C	YNR066C	S	0.0	0.629
YNR068C	YNR068C	S	0.0	0.866
YNR069C	BSC5	S	0.0	0.943
YOL017W	ESC8	S	0.0	0.682
YOL025W	LAG2	S	0.0	0.433
YOL026C	MIM1	S	0.0	0.369
YOL028C	YAP7	S	0.0	0.497
YOL045W	PSK2	S	0.0	0.414
YOL059W	GPD2	S	0.0	0.657
YOL063C	CRT10	S	0.0	0.38
YOL065C	INP54	S	0.0	0.622
YOL070C	NBA1	S	0.0	0.483
YOL075C	YOL075C	S	0.0	0.403
YOL081W	IRA2	S	0.00302	0.513
YOL088C	MPD2	S	0.00567	0.544
YOL097C	WRS1	S	0.0	1.055
YOL105C	WSC3	S	0.0	1.048
YOL126C	MDH2	S	0.0	1.063
YOL128C	YGK3	S	0.0	0.733
YOL129W	VPS68	S	0.0	0.606
YOL132W	GAS4	S	0.0	0.74
YOR004W	UTP23	S	0.0	1.375
YOR011W	AUS1	S	0.0	0.679
YOR017W	PET127	S	0.0	0.399
YOR018W	ROD1	S	0.0	0.606
YOR020C	HSP10	S	0.0	0.963
YOR035C	SHE4	S	0.0	0.781
YOR037W	CYC2	S	0.0	0.636
YOR042W	CUE5	S	0.0	0.696
YOR046C	DBP5	S	0.0	0.667
YOR047C	STD1	S	0.0	0.677
YOR049C	RSB1	S	0.0	0.78
YOR054C	VHS3	S	0.0	0.638
YOR058C	ASE1	S	0.0	0.444
YOR059C	LPL1	S	0.00252	0.643
YOR070C	GYP1	S	0.0	0.434
YOR071C	NRT1	S	0.0	0.468
YOR076C	SKI7	S	0.0	0.554
YOR079C	ATX2	S	0.0	0.612
YOR081C	TGL5	S	0.0	0.473
YOR086C	TCB1	S	0.0	0.531
YOR092W	ECM3	S	0.0	0.656
YOR093C	YOR093C	S	0.0	0.586
YOR095C	RKI1	S	0.0	1.269
YOR099W	KTR1	S	0.0	0.566
YOR100C	CRC1	S	0.0	1.367
YOR101W	RAS1	S	0.0	0.915
YOR108W	LEU9	S	0.0	0.755
YOR109W	INP53	S	0.0	0.594
YOR124C	UBP2	S	0.0	0.653
YOR125C	CAT5	S	0.0	0.685
YOR127W	RGA1	S	0.0	0.684
YOR140W	SFL1	S	0.0	0.576
YOR143C	THI80	S	0.0	0.553
YOR147W	MDM32	S	0.0	0.482
YOR148C	SPP2	S	0.00423	0.465
YOR160W	MTR10	S	0.00242	0.525
YOR162C	YRR1	S	0.0	0.53
YOR165W	SEY1	S	0.0	0.513
YOR168W	GLN4	S	0.0	0.871
YOR177C	MPC54	S	0.00269	0.764
YOR184W	SER1	S	0.0	0.771
YOR187W	TUF1	S	0.0	0.616
YOR191W	ULS1	S	0.0	0.531
YOR195W	SLK19	S	0.00168	0.533
YOR196C	LIP5	S	0.0	0.473
YOR201C	MRM1	S	0.0	0.429
YOR216C	RUD3	S	0.0	0.577
YOR222W	ODC2	S	0.0	0.665
YOR223W	DSC3	S	0.0	0.604
YOR230W	WTM1	S	0.00113	0.901
YOR231W	MKK1	S	0.0	0.377
YOR236W	DFR1	S	0.0	0.762
YOR246C	ENV9	S	0.0	0.503
YOR251C	TUM1	S	0.0	0.486
YOR273C	TPO4	S	0.0	1.312
YOR275C	RIM20	S	0.0	0.466
YOR284W	HUA2	S	0.0	0.391
YOR292C	YOR292C	S	0.0	0.551
YOR298C-A	MBF1	S	0.0	NA
YOR301W	RAX1	S	0.0	0.446
YOR315W	SFG1	S	0.0	1.15
YOR322C	LDB19	S	0.0	0.373
YOR328W	PDR10	S	0.0	0.869
YOR329C	SCD5	S	0.0	0.502
YOR334W	MRS2	S	0.0	0.449
YOR335C	ALA1	S	0.0	0.874
YOR336W	KRE5	S	0.0	0.492
YOR337W	TEA1	S	0.0	0.642
YOR339C	UBC11	S	0.0	0.616
YOR347C	PYK2	S	0.0	0.923
YOR355W	GDS1	S	0.0	0.537
YOR370C	MRS6	S	0.0	0.377
YOR371C	GPB1	S	0.0	0.505
YOR375C	GDH1	S	0.0	1.049
YOR380W	RDR1	S	0.0	0.502
YOR393W	ERR1	S	0.0	0.891
YPL006W	NCR1	S	0.0	0.58
YPL009C	RQC2	S	0.0	0.458
YPL027W	SMA1	S	0.0	0.906
YPL032C	SVL3	S	0.0	0.633
YPL036W	PMA2	S	0.0	0.699
YPL051W	ARL3	S	0.01014	0.544
YPL053C	KTR6	S	0.0	0.516
YPL060W	MFM1	S	0.0	0.7
YPL066W	RGL1	S	0.0	0.465
YPL084W	BRO1	S	0.0	0.514
YPL087W	YDC1	S	0.0	1.003
YPL088W	YPL088W	S	0.0	0.927
YPL103C	FMP30	S	0.0	0.418
YPL110C	GDE1	S	0.0	0.587
YPL115C	BEM3	S	0.0	0.531
YPL117C	IDI1	S	0.0	0.628
YPL119C	DBP1	S	0.0	1.151
YPL125W	KAP120	S	0.00067	0.576
YPL128C	TBF1	S	0.0	0.564
YPL132W	COX11	S	0.0	0.482
YPL135W	ISU1	S	0.0	0.95
YPL140C	MKK2	S	0.0	0.44
YPL144W	POC4	S	0.0	0.536
YPL145C	KES1	S	0.0	0.645
YPL158C	AIM44	S	0.0	0.661
YPL159C	PET20	S	0.0	0.688
YPL161C	BEM4	S	0.0	0.49
YPL162C	YPL162C	S	0.0	0.386
YPL166W	ATG29	S	0.00151	1.014
YPL171C	OYE3	S	0.00151	0.685
YPL176C	TRE1	S	0.0	0.444
YPL177C	CUP9	S	0.0	0.633
YPL184C	MRN1	S	0.0	0.384
YPL201C	YIG1	S	0.0	1.558
YPL208W	RKM1	S	0.0	0.652
YPL227C	ALG5	S	0.0	0.931
YPL229W	YPL229W	S	0.0	0.461
YPL230W	USV1	S	0.0	1.992
YPL242C	IQG1	S	0.0	0.447
YPL245W	YPL245W	S	0.0	0.836
YPL260W	YPL260W	S	0.0	0.434
YPL264C	YPL264C	S	0.0	0.517
YPL265W	DIP5	S	0.0	1.068
YPL268W	PLC1	S	0.0	0.515
YPL269W	KAR9	S	0.0	0.383
YPL274W	SAM3	S	0.0	0.692
YPR003C	YPR003C	S	0.0	0.609
YPR004C	AIM45	S	0.0	0.594
YPR008W	HAA1	S	0.0	0.494
YPR013C	CMR3	S	0.0	0.655
YPR030W	CSR2	S	0.0	1.255
YPR048W	TAH18	S	0.0	0.757
YPR058W	YMC1	S	0.0	0.635
YPR074C	TKL1	S	0.0	1.316
YPR075C	OPY2	S	0.0	0.547
YPR078C	YPR078C	S	0.0	0.663
YPR079W	MRL1	S	0.0	0.515
YPR083W	MDM36	S	0.0	0.54
YPR085C	ASA1	S	0.0	0.426
YPR093C	ASR1	S	0.0	0.61
YPR095C	SYT1	S	0.0	0.476
YPR113W	PIS1	S	0.0	0.656
YPR117W	YPR117W	S	0.0	0.554
YPR118W	MRI1	S	0.0	1.035
YPR121W	THI22	S	0.0	0.4
YPR122W	AXL1	S	0.0	0.71
YPR128C	ANT1	S	0.0	0.521
YPR133C	SPN1	S	0.0	0.421
YPR151C	SUE1	S	0.0	1.533
YPR153W	YPR153W	S	0.0	0.519
YPR155C	NCA2	S	0.0	0.705
YPR159C-A	YPR159C-A	S	0.0	NA
YPR159W	KRE6	S	0.0	0.586
YPR164W	MMS1	S	0.0	0.56
YPR171W	BSP1	S	0.0	0.372
YPR173C	VPS4	S	0.0	0.466
YPR185W	ATG13	S	0.0	0.443
YPR198W	SGE1	S	0.0	0.439
YPR199C	ARR1	S	0.0	0.414
ACP	ACP	C	0.0	NA
commitment_complex	commitment_complex	C	0.0	NA
cytoplasmic_RLS	cytoplasmic_RLS	C	0.0	NA
cytoplasmic_RSS	cytoplasmic_RSS	C	0.0	NA
mRNA_cleavage_polyA_specificity	mRNA_cleavage_polyA_specificity	C	0.0	NA
mito_RLS	mito_RLS	C	0.0	NA
mito_RSS	mito_RSS	C	0.0	NA
ribonuclease_MRP	ribonuclease_MRP	C	0.0	NA
TF_TFIID	TF_TFIID	C	0.0	NA
TF_TFIIH	TF_TFIIH	C	0.0	NA
